state_name,_2013,_2014,_2015,_2016,_2017,_2018,_2019
AK,20715,19713,21089,22490,22417,21648,22969
AL,13477,14352,15953,16098,16902,18001,17734
AR,13516,14143,14218,14929,16663,17995,17773
AZ,15183,15535,16999,17484,18432,18875,19966
CA,16691,17444,18045,17458,18730,19567,20788
CO,16636,15932,16940,17459,19339,18314,20171
CT,16874,18123,18269,18637,20020,20735,21363
DE,16102,17514,18920,18648,19407,20098,20628
FL,16070,15915,16009,17989,17189,18934,20714
GA,14762,16209,17307,18252,17703,18575,19720
HI,14382,14848,15959,16362,18512,17919,19243
IA,14415,15899,16257,16123,17086,18192,18752
ID,14036,14729,16691,17499,17168,17579,19258
IL,16928,17193,17227,18510,19656,20407,20659
IN,15724,17223,17121,17996,18253,19551,21169
KS,15658,15652,16740,16784,18229,18825,18867
KY,15463,16711,16622,16678,16948,19277,20612
LA,15548,15928,17242,17330,17400,19294,19032
MA,17424,17702,18454,18955,21053,21801,21424
MD,15820,17232,17961,18519,18915,19237,20285
ME,16332,16514,16117,17987,17422,19555,20731
MI,15242,15608,15628,17113,18929,18242,20425
MN,14820,16361,16925,17545,18507,19327,20751
MO,15160,15493,16849,16638,18763,19249,19900
MS,14053,15092,16081,15765,17343,17384,17860
MT,15152,15005,17317,17835,17932,19610,20193
NC,15023,16210,17141,16986,18101,18211,19996
ND,14995,15446,16020,16804,17886,17337,18400
NE,14616,16139,16201,16617,18199,19015,19398
NH,17024,18126,19208,19066,19230,20538,20078
NJ,17396,19143,18280,18242,20669,22294,22060
NM,15207,15766,17349,16954,18738,17861,19185
NV,14682,16152,17434,16133,17221,18357,18720
NY,17530,17396,19630,19375,21317,21904,22874
OH,15955,15974,16900,17523,18185,19640,19621
OK,15106,16280,16811,16646,18252,18745,19819
OR,15856,16330,17141,17127,17953,18977,19405
PA,16019,16328,17344,17900,18589,20255,20673
RI,16077,16419,17590,18010,18387,18623,20481
SC,15506,16044,16764,17673,18241,19284,20973
SD,15780,16352,16194,17117,17695,19730,20265
TN,15214,16001,15635,16721,17349,17663,18748
TX,16049,16967,17216,17529,18252,19460,20966
UT,15341,15963,15998,17025,16350,18052,18674
VA,15917,16601,17566,17945,18264,19512,19865
VT,16311,16659,17835,17795,18552,20129,21419
WA,15721,17445,16627,18301,19472,18783,20033
WI,16665,17209,17662,17477,18785,19555,20345
WV,17105,17433,18322,17260,20252,20709,20403
WY,17130,16299,17015,19617,21355,19374,19925